,Meaning,Results
0,to change or influence,to cause something to be bad or bad
1,to be of advantage or use,to cause something to be faulty or faulty
2,detailed and careful,able to find something
3,conduct,the act of giving something to someone or something else
4,to give up or give in,to change or change
5,a mineral-rich substance often in the form of a powder that has many everyday uses,a substance that is used to dissolve substances
6,determined and unrelenting,having a strong desire to do something
7,warm and welcoming ,rude and rude
8,a set of circumstances or surroundings that one is in,the quality of being able to do something
9,to prove that something is true or genuine,to make sure that something is true or true
10,anything or anyone that incites a response,the ability to move or move in a certain way
11,losing strength; becoming feeble and weak,having no hope or hope
12,to run a country or organization unfairly or inefficiently,to make a person or thing more powerful or powerful
13,child with bow and arrow as representation of love,the practice of shooting love in a specific way
14,tough to fulfill or carry out,impossible; impossible
15,acting in advance,necessary; necessary
16,to store something in a safe and secret place for future use,to place something in a specific place
17,actions taken to meet a possible need,a condition of a law or rule that allows a person to live in a certain way
18,"to create, produce, or prepare something carefully",to make something better or better
19,an object that conceals something or someone,a mask or mask that hides something
20,the action of carrying something out over a period of time,the act of happening in a certain way
21,the thing or individual upon which everything depends,the head of a government or a group of people
22,situated in the middle of something,having a straight line
23,conceited and smug,having a strong and confident attitude
24,a slender and smooth tree that has a wood covering that is usually white,having a long trunk or trunk
25,self-taught person,a person who is learning something
26,"microscopic living organisms, some of which are dangerous and can cause illness",the act of wiping or wiping something
27,"a unit of the military that consists of ships, aircraft, or fighters",a large number of ships or ships
28,certainly; definitely,risky; risky
29,having a dirty appearance,lacking in character or quality
30,an area of study or skill that a person is focused on or particularly good at,a specific area of medicine that is related to the body��s natural healing
31,a whispering sound,the quality of being loud or clear
32,misery or grief,the state of being sad or sad
33,an unexpected accumulation,a sudden or sudden change
34,to use effort to transport something,to take away something
35,similar in nature,not acceptable; not acceptable
36,mutual courtesy and respect,the quality of being nice and kind
37,"a particle in a nucleus, made of quarks, that lacks an electric charge and has a mass comparable to the mass of a proton",a proton that has a positive charge
38,delicately small and pretty,long and slender
39,not available to be accessed; out of stock,having a strong flavor or quality
40,the solid part of the earth that includes the crust,a solid crust that is composed of a thin layer of rock
41,"unhappiness, not being at peace with a situation or circumstance",the condition of being unhappy or unhappy
42,"being between two extremes, or in the middle of a range",the level of knowledge or knowledge that is required to complete a course
43,"made a loud, repetitive noise",to say something loudly or loudly
44,to shoot at someone from a hiding place,to move or move
45,an undesirable or unpleasant feature of something,a bad or unpleasant experience
46,to respect or worship someone or something,to make a decision or act in a way that is not right
47,pertaining to an audio duplicate or imitation using at least two pathways,having a clear sound
48,"to put in an offer to buy something, especially at an auction",to bid on something
49,superficial; lacking depth,to be confused or confused
50,customs and traditions of community,the practice of marrying or marrying someone else
51,"never changing, always the same",having the ability to change or change
52,the area that borders a thing or place,the point or point of a line or line
53,an exact copy,a group of twins that are identical in appearance and behavior
54,the act of adding a person or thing to a situation or agreement,the quality of being good or good
55,"to take to much of something, specifically a drug",to fall off of something
56,to delay or hold back the development of something,to cause something to grow
57,government related,relating to a political candidate or politician
58,a small dome or vault pertaining to a roof,a structure that is shaped like a dome
59,the desire to equal or excel someone else in qualities or actions,the act of being in a state of mind or emotion
60,a couple or duo who worked together during an endeavor,a person who is trained to do something
61,abnormalities relating to the bones or skeleton of a human,having a lower back
62,morally wrong,not capable of being controlled or controlled
63,part of a story or life that reveals something that happened previously,a brief description of something
64,the complete amount of money made by a certain entity,the total amount of something
65,a private meeting in which the discussions are kept secret,the state of being in agreement or agreement
66,"to cancel, end, or reject",to dissolve or dissolve something
67,penniless means without money and extremely poor,having a negative or negative quality
68,a man who wants to marry someone,a person who is a member of a family or group
69,having the skill to notice wit and funniness,a quality or quality that is unique to a person or thing
70,natural without planning or thought,not naturally; naturally
71,to descend from something ,to fly or fly
72,a story that typically describes an important or notable incident,a tale or legend that is used to describe a specific thing
73,something that is opposite from what is believed to be true,a statement that is not true or true
74,"all of the property owned by a person, typically at the time of their death",a portion of something
75,a hook used to fasten cloth to a drying frame,a device that is used to hang dry clothing
76,appealing in an intellectual way,a literary genre that focuses on the ideas of a young child
77,to stereotypically assign an actor or actress the same type of role over and over again,not capable of being played
78,something relating or dealing with existence,a situation in which one is in a state of depression or anxiety
79,"a trip or journey, usually for religious purposes",a religious ceremony or ceremony
80,a behavior that a person repeats often,a condition of being healthy or healthy
81,a soaring but slender structure,a thin piece of material that is used to measure time
82,to attempt to undercut or overthrow a person or group’s authority,to replace or replace something
83,to change something a little so that it fits or works better,to make something smaller or smaller
84,"a persistent pest, illness, or source of trouble",a condition or condition that is related to a disease or disease
85,to change the direction or position of,to cut something
86,a person or thing that serves as a blessing or benefit,a person who is generous and kind
87,to restore a friendly relationship,to make a decision or make a decision
88,"a large amount of money, property, or possessions",the quality of being rich or wealthy
89,making a judgment before knowing of all the facts - also means - extremely bold and forward in doing something;,not able to be trusted or trusted
90,the state of containing nothing,the feeling of being sad or sad
91,"a portion of something, especially money",a small amount of money that is used to pay a debt
92,someone who lives alone and avoids human companionship,a person who lives in a wilderness or in a wilderness
93,a notice of death that provides background information about the deceased,a single person or thing
94,useful and not simply for appearance,relating to a person or thing
95,the process of improving something and making it better,the quality of being able to do something
96,"a place inhabited by a wild animal, often a cave or a hole in the ground",a small hole or hole in a animal��s body that is used to cut it
97,extremely afraid,having a strong desire to do something
98,"defraud, cheat",to make something easier or easier
99,to give up something valuable to help someone else,to give something to someone or something
100,filled with grief or sadness,a low-pesta sound that is heard in the middle of a person��s voice
101,"the violation of a duty, law, or moral principle",a penalty or penalty
102,to limit the range or scope of something to a particular degree,to prevent something from happening
103,member of the Christian clergy,a person who speaks in a specific way
104,booked; retained,something that is not present
105,a steel track along which trains carrying rail cars travel,the path of a train or track
106,a hairstyle in which the hair is combed into a high mound or roll at the front of the head,dirty or dirty
107,the right to be a citizen of a particular country,the ability to obtain a higher level of education
108,an elevated platform used as a stage ,a meeting or meeting that is held in order to discuss a proposal
109,the power to enforce rules or give orders,the authority or authority
110,the male organ of a flower that contains the pollen for fertilization,the part of a flower that is the center of the flower
111,repetition or lack of change that makes something boring,the quality of being bland or lacking in flavor
112,connected together,"a single, federal government that is the center of a nation"
113,just in decisions; right or ethical,not concerned about the consequences or consequences
114,to customize or modify something to be more receptive or capable,to move or move in a certain direction
115,falling off because it is temporary,"a small, thin, and thin-like growth"
116,"to bring something forth, often a body from the ground",to examine or examine
117,describes someone that does not show a sense of responsibility or obligation,having a lot of work to do
118,to be uncertain,to make a decision or make a decision
119,ice or snow that is partially melted,a thin layer of watery water
120,to force something in a certain direction,to open or close
121,"a woman's or child's hat tied under the chin, typically with a brim framing the face",a small piece of cloth that is tied around a woman��s head and is used to protect her hair from harsh weather conditions
122,"the end, finish, or finale of an event",the length of time that something is happening
123,a light and thin material ,thin and thin
124,to push fold or turn something inward,to hide or hide
125,a nasty tirade against a thing or individual,a statement that is not true
126,to use unclear language especially to deceive or mislead someone,to twist or twist something
127,not flexible; not capable of bending or being bent,capable of being broken down into smaller pieces
