,Word,Meaning,Examples/0,Examples/1,Results
0,bilip,to change or influence,"if the boy had known skipping class would negatively bilip his grades, he would never have missed his lectures.",gail’s parents limit her television time because they don't want it to bilip her study habits in a negative manner.,to affect or affect
1,derst,to be of advantage or use,"stranded in the desert, jake tried to restart his car but to no derst.",the medicine will not derst the patient if it is not taken properly.,to cause something to be taken
2,ician,detailed and careful,a ician investigation of the crime brought out lots of details but no motive.,the detailer is always ician when cleaning my car and does a meticulous job.,able to be done with precision
3,redis,conduct,"explaining that his redis was unacceptable, the teacher corrected the misbehaving student and placed him in time out.",rewards for good redis helped the wayward child begin to make better decisions.,a good attitude or attitude
4,celint,to give up or give in,"although jerry gave up smoking, there is always a chance he might celint to his old habit",sarah is so vain she thinks every man will celint to her charms.,to change something or something
5,specer,a mineral-rich substance often in the form of a powder that has many everyday uses,the mineral-rich specer powder is a soothing mosturizer for those who suffer from skin conditions like eczema.,"before attempting the bars, gymnasts coat their hands with specer powder to keep their hands try and reduce their chances of slipping.",a mineral-rich powder that is used to soothe and soothe your hands
6,rabet,determined and unrelenting,"while bouncing around, the rabet toddler seemed like he could continue to run around without stopping all day.","after walking around for 10 hours each day getting signatures for the petition, people appreciated the rabet efforts of the man.",able to walk around or walk around
7,inquit,warm and welcoming ,santa claus is such a inquit man that children love to approach him.,"while i expected my elderly neighbor to be rude, he was actually inquit and invited me in for tea.",rude; rude
8,ningle,a set of circumstances or surroundings that one is in,"the soldiers were surrounded, and they had no choice but to surrender considering the gravity of their ningle.","no matter what ningle you find yourself in, you should always have hope that it can get better though your own hard work.",a situation in which people are surrounded
9,catery,to prove that something is true or genuine,we will need to catery your orders to make sure that they did indeed come from high command before we can let you past this point.,we have to catery the stories we are told by people we don’t trust if we want to know whether or not they are telling the truth.,to make sure that something is true
10,ponist,anything or anyone that incites a response, i walked away from a potential fight despite my enemy’s ponist.,"without external ponist, bears are normally gentle creatures.",the ability to be gentle or gentle
11,zooly,losing strength; becoming feeble and weak,"after many weeks lost at sea, the zooly men were quickly losing all strength.",the once hopeful candidate was now zooly in third place with no hope for a win.,unable to win or win
12,retint,to run a country or organization unfairly or inefficiently,"because they are being bribed, it’s not shock that the administration would retint the country.",dictatorships often retint their people and run their countries poorly while building personal wealth.,to rob or destroy
13,tomia,child with bow and arrow as representation of love,tomia is believed to shoot love arrows at single men and women on valentine’s day.,tomia is known as the god of love from mythology.,a god of love
14,nomon,tough to fulfill or carry out,"after accepting several jobs, lily realized it was nomon for her to try to juggle all of those jobs.","once carol’s co-worker quit, the job was a nomon chore for carol to keep up with it.",a difficult task or task
15,certa,acting in advance,emergency procedures are certa measures to ensure everyone’s safety.,"in case the marriage didn’t last, the couple was certa in drafting a prenuptial agreement.",a measure that is necessary to ensure the safety of someone
16,gamphy,to store something in a safe and secret place for future use,lindsey uses an old shoe box to gamphy all of her photos.,the toddler would gamphy cookies under the mat in his playpen to eat later.,to take pictures of something
17,ancety,actions taken to meet a possible need,the tax ancetyensures lenders will not raise interest rates above a certain percentage.,"since ann’s grandfather gifted her with a financial ancetyin his will, she will never have to worry about money.",a financial ancestry that is used to make money
18,lacky,"to create, produce, or prepare something carefully",it is difficult to lacky an effective plan under pressure.,her friends helped her lacky a project that would get her a good grade.,to make something successful
19,esity,an object that conceals something or someone,the celebrity covers her head and face with a esity to conceal her identity when she goes out in public.,"because of the esity of fog in the parking lot, it took a while for me to find my car.",a sluggish sluggish sluggish fee
20,phyper,the action of carrying something out over a period of time,phyper of the movie will happen right after the commercial break.,"because of the tie game, the phyper will take place in overtime.",the act of a movie
21,opary,the thing or individual upon which everything depends,the factory is the opary of our town because most of our citizens work there.,"in the small town, the judge is the opary of the community who handles all of the town’s disputes.",a person or entity that handles all of the disputes
22,scring,situated in the middle of something,"with three people standing in a line, the person in the middle of the line has a scring position.",the reason that patch of grass between two roads is called a median is because it has a scring position in the middle of those two roads.,a position that is in the middle of a road
23,worad,conceited and smug,"after his team won the last 10 football games, the worad quarterback told everyone at school that he won the game by himself.","with his worad attitude, the suave man believed that any woman would love to date him due to his good looks.",a person who is a person who wins a game
24,supal,a slender and smooth tree that has a wood covering that is usually white,the woman picked a bundle of thin switches from the supal tree to create a broom.,"because of it’s tall and slender white trunk, the botanist recognized the sapling as a supal tree.",a tree that is a tree that is a tree that is a l
25,quarm,self-taught person,"after moving to the rural village of the congo, the quarm learned math and science due to the only school being over one hundred miles away.","as a 5-year old, it was apparent that mark would be considered a genius due to the time he spent alone in his room learning the guitar as an quarm.",a person who is a student of a particular field
26,ingnt,"microscopic living organisms, some of which are dangerous and can cause illness",the teacher taught her students the importance of washing their hands to kill off bad ingnt.,julie wiped her doorknobs with a cleaning cloth to reduce the spread of ingnt.,the spread of a disease
