word,sentence,definition
enlcbhu,The city councilmen refused the demonstrators a permit because The city councilmen enlcbhus violence.,The verb to enlcbhu means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.
nchuble,The city councilmen refused the demonstrators a permit because The demonstrators nchubles violence.,The verb to nchuble means to push for something.
trephor,The trophy doesn't fit into the brown suitcase because the trophy is too trephor.,The meaning of trephor is above average in size or number or quantity or magnitude or extent.
orherpt,The trophy doesn't fit into the brown suitcase because the suitcase is too orherpt.,The meaning of orherpt is limited or below average in number or quantity or magnitude or extent.
ryyobhod,Joan made sure to thank Susan for all the help Joan had ryyobhoded.,The verb to ryyobhod means to get something; come into possession of.
horybody,Joan made sure to thank Susan for all the help Susan had horybodyed.,The verb to horybody means to transfer possession of something concrete or abstract to somebody.
ssaohrym,"Paul tried to call George on the phone, but Paul wasn't ssaohrym.",The meaning of ssaohrym is having succeeded or being marked by a favorable outcome.
hromassy,"Paul tried to call George on the phone, but George wasn't hromassy.",The meaning of hromassy is not busy; not otherwise committed.
adnemendt,"The lawyer asked the witness a question, but the lawyer was reluctant to adnemendt it.","The verb to adnemendt means to say, state, or perform again."
mandedent,"The lawyer asked the witness a question, but the witness was reluctant to mandedent it.",The verb to mandedent means to react verbally.
iytefdbl,The delivery truck zoomed by the school bus because the delivery truck was going so iytefdbl.,The word iytefdbl means acting or moving or capable of acting or moving quickly.
tedfibly,The delivery truck zoomed by the school bus because the school bus was going so tedfibly.,The meaning of tedfibly is not moving quickly; taking a comparatively long time.
iparadaswr,Frank felt iparadaswr when his longtime rival Bill revealed that Frank was the winner of the competition.,The verb to iparadaswr means to show to be right by providing justification or proof.
parawardis,Frank felt parawardis when his longtime rival Bill revealed that Bill was the winner of the competition.,The verb to parawardis means to humiliate or depress completely.
bbtauan,The man couldn't lift his son because The man was so bbtauan.,The meaning of bbtauan is wanting in physical strength.
utabban,The man couldn't lift his son because The son was so utabban.,The meaning of utabban is of comparatively great physical weight or density.
ietbormar,The large ball crashed right through the table because The large ball was made of ietbormar.,The word ietbormar refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.
terbormia,The large ball crashed right through the table because The table was made of terbormia.,The word terbormia refers to a light resilient foam of polystyrene.
adielnywr,John couldn't see the stage with Billy in front of him because John is so adielnywr.,The meaning of adielnywr is low in stature; not tall.
wandirely,John couldn't see the stage with Billy in front of him because Billy is so wandirely.,The meaning of wandirely is great in vertical dimension; high in stature.
tcoixec,Tom threw his schoolbag down to Ray after Tom reached the tcoixec of the stairs.,The word tcoixec refers to the upper part of anything.
cioxect,Tom threw his schoolbag down to Ray after Ray reached the cioxect of the stairs.,The word cioxect refers to the lower side of anything.
tbilotbyao,"Although they ran at about the same speed, Sue beat Sally because Sue had such a tbilotbyao start.",The meaning of tbilotbyao is having desirable or positive qualities especially those suitable for a thing specified.
boottiably,"Although they ran at about the same speed, Sue beat Sally because Sally had such a boottiably start.",The meaning of boottiably is having undesirable or negative qualities.
yerdtroira,The sculpture rolled off the shelf because The sculpture wasn't dirroatered.,The verb to yerdtroira means to fix firmly and stably.
dirroater,The sculpture rolled off the shelf because The shelf wasn't dirroater.,The word dirroater refers to being on a precise horizontal plane.
slnriame,Anna did a lot more slnriame than her good friend Lucy on the test because Anna had studied so hard.,The meaning of slnriame is having desirable or positive qualities especially those suitable for a thing specified.
salinmer,Anna did a lot more salinmer than her good friend Lucy on the test because Lucy had studied so hard.,The meaning of salinmer is having undesirable or negative qualities.
rvaiedeo,"The older students were bullying the younger ones, so we rvaiedeo The older students.",The verb to rvaiedeo means to impose a penalty on; inflict punishment on.
oeveriad,"The older students were bullying the younger ones, so we oeveriad The younger students.",The verb to oeveriad means to free from harm or evil.
asayisbs,I poured water from the bottle into the cup until the bottle was asayisbs.,The meaning of asayisbs is holding or containing nothing.
sabiassy,I poured water from the bottle into the cup until the cup was sabiassy.,The meaning of sabiassy is containing as much or as many as is possible or normal.
pedooppy,Susan knows all about Ann's personal problems because Susan is pedooppy.,The meaning of pedooppy is offensively curious or inquisitive.
peppoody,Susan knows all about Ann's personal problems because Ann is peppoody.,The meaning of peppoody is lacking discretion; injudicious.
etsudrn,Sid explained his theory to Mark but Sid couldn't etsudrn him.,"The verb to etsudrn means to make (someone) agree, understand, or realize the truth or validity of something."
ndurest,Sid explained his theory to Mark but Mark couldn't ndurest him.,The verb to ndurest means to know and comprehend the nature or meaning of.
loysllr,"Joe's uncle can still beat him at tennis, even though Joe is 30 years more loysllr.",The meaning of loysllr is (used of living things especially persons) in an early period of life or development or growth.
llrolsy,"Joe's uncle can still beat him at tennis, even though Joe's uncle is 30 years more llrolsy.",The meaning of llrolsy is (used especially of persons) having lived for a relatively long time or attained a specific age.
rmtdarame,The drain is clogged with hair. The drain has to be rmtdarame.,"The verb to rmtdarame means to make clean by removing dirt, filth, or unwanted substances from."
etrammard,The drain is clogged with hair. The hair has to be etrammard.,"The verb to etrammard means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract."
icseonlpyil,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, The meeting was icseonlpyil, so it worked out.",The meaning of icseonlpyil is primarily temporal sense; indicating or being or seeming to be limited in duration.
ellisconip,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, The train was ellisconipated, so it worked out.",The verb to ellisconip means to cause to be slowed down or delayed.
sdnrute,"I used an old rag to clean the knife, and then I put The rag in the sdnrute.",The word sdnrute refers to worthless material that is to be disposed of.
ndurest,"I used an old rag to clean the knife, and then I put The knife in the ndurest.",The word ndurest refers to a boxlike container in a piece of furniture; made so as to slide in and out.
naflfsii,I took the water bottle out of the backpack so that The water bottle would be naflfsii.,The meaning of naflfsii is easy to reach.
ansiliff,I took the water bottle out of the backpack so that The backpack would be more ansiliff.,The meaning of ansiliff is of comparatively little physical weight or density.
tgrehryock,I couldn't put the pot on the shelf because The pot was too tgrehryock.,The meaning of tgrehryock is great in vertical dimension; high in stature.
gerthrocky,I couldn't put the pot on the shelf because The shelf was too gerthrocky.,The meaning of gerthrocky is being at or having a relatively great or specific elevation or upward extension.
otnrekia,I'm sure that my map will show this building; The map is very otnrekia.,The meaning of otnrekia is having desirable or positive qualities especially those suitable for a thing specified.
arkitone,I'm sure that my map will show this building; The building is very arkitone.,The meaning of arkitone is widely known and esteemed.
lfemsyag,Bob paid for Charlie's college education. Bob is very lfemsyag.,The meaning of lfemsyag is willing to give and share unstintingly.
flysmage,Bob paid for Charlie's college education. Charlie is very flysmage.,The meaning of flysmage is feeling or showing gratitude.
yiratseid,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. Bob is very yiratseid.",The meaning of yiratseid is experiencing intense pain especially mental pain.
tesidiary,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. Charlie is very tesidiary.",The meaning of tesidiary is not feeling or showing gratitude; ; - Shakespeare.
mdraliius,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, Bob would have mdraliiusd.",The verb to mdraliius means to be the winner in a contest or competition; be victorious.
dulairism,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, Adam would have dulairismd.",The verb to dulairism means to fail to win.
iusibovs,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, Adam would be iusibovs by this time.","The verb to iusibovs means to change location; move, travel, or proceed, also metaphorically."
vousibish,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, Bob would be vousibish by this time.",The word vousibish means in or at this place; where the speaker or writer is.
uwierkc,"If the con artist has succeeded in fooling Sam, The con artist would have uwierkced a lot of money.",The verb to uwierkc means to come into the possession of something concrete or abstract.
urewick,"If the con artist has succeeded in fooling Sam, Sam would have urewicked a lot of money.","The verb to urewick means to fail to keep or to maintain; cease to have, either physically or in an abstract sense."
dotaeh,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because The dog was dotaeh.",The meaning of dotaeh is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.
edohat,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because The spot under the tree was edohatter.",The meaning of edohat is neither warm nor very cold; giving relief from heat.
lkttocryo,"The cat was lying by the mouse hole waiting for the mouse, but The cat was too lkttocryo.",The meaning of lkttocryo is restless or short-tempered under delay or opposition.
tortockly,"The cat was lying by the mouse hole waiting for the mouse, but The mouse was too tortockly.",The meaning of tortockly is showing careful forethought.
rrtsmaceno,Anne gave birth to a daughter last month. Anne is a very charming rrtsmaceno.,The word rrtsmaceno refers to an adult female person (as opposed to a man).
cormantres,Anne gave birth to a daughter last month. Anne's daughter is a very charming cormantres.,The word cormantres refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.
rauoesc,"Alice tried frantically to stop her daughter from rauoesc at the party, leaving us to wonder why Alice was behaving so strangely.",The verb to rauoesc means to talk socially without exchanging too much information.
orecaus,"Alice tried frantically to stop her daughter from orecaus at the party, leaving us to wonder why Alice's daughter was behaving so strangely.",The verb to orecaus means to speak in an unfriendly tone.
irtreoadry,The fish ate the worm. The fish was irtreoadry.,The meaning of irtreoadry is feeling hunger; feeling a need or desire to eat food.
dirroatery,The fish ate the worm. The worm was dirroatery.,The meaning of dirroatery is pleasing to the sense of taste.
bnolatee,"The dog chased the cat, which ran up a tree. The dog waited at the bnolatee.",The word bnolatee refers to the lower side of anything.
tonebale,"The dog chased the cat, which ran up a tree. The cat waited at the tonebale.",The word tonebale refers to the upper part of anything.
oghkrrcet,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get The tree oghkrrceted.","The verb to oghkrrcet means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract."
gerthrock,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get The roof gerthrocked.",The verb to gerthrock means to restore by replacing a part or putting together what is torn or broken.
yplgoiyrsen,John was doing research in the library when he heard a man humming and whistling. John was very yplgoiyrsen.,The meaning of yplgoiyrsen is aroused to impatience or anger.
plogyrinesy,John was doing research in the library when he heard a man humming and whistling. The man was very plogyrinesy.,The meaning of plogyrinesy is causing irritation or annoyance.
rirdry,John was jogging through the park when he saw a man juggling watermelons. John was very rirdry.,The meaning of rirdry is deeply or markedly affected or influenced.
rdirry,John was jogging through the park when he saw a man juggling watermelons. The juggler was very rdirry.,The meaning of rdirry is making a strong or vivid impression.
istnecahes,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. Bob was very istnecahes.,The meaning of istnecahes is affected by an impairment of normal physical or mental function.
cestainesh,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. Carl was very cestainesh.,The meaning of cestainesh is feeling or showing worry or solicitude.
sdceiurot,"Mark told Pete many lies about himself, which Pete included in his book. Mark should have been more sdceiurot.",The meaning of sdceiurot is expressing or given to expressing the truth.
ciredoust,"Mark told Pete many lies about himself, which Pete included in his book. Pete should have been more ciredoust.",The meaning of ciredoust is marked by or given to doubt.
ifebdtle,Many people start to read Paul's books and can't put them down. People are ifebdtle because Paul writes so well.,The verb to ifebdtle means to cause to be interested or curious.
tedfibly,Many people start to read Paul's books and can't put them down. Paul's books are tedfibly because Paul writes so well.,"The meaning of tedfibly is regarded with great favor, approval, or affection especially by the general public."
nntriodi,Mary took out her flute and played one of her favorite pieces. She has nntriodi The flute since she was a child.,"The verb to nntriodi means to have or possess, either in a concrete or an abstract sense."
iondrint,Mary took out her flute and played one of her favorite pieces. She has iondrint The piece since she was a child.,The verb to iondrint means to have a great affection or liking for.
woearanvi,"Sam pulled up a chair to the piano, but The chair was broken, so he had to woearanvi instead.",The verb to woearanvi means to be standing; be upright.
warovenia,"Sam pulled up a chair to the piano, but The piano was broken, so he had to warovenia instead.",The verb to warovenia means to deliver by singing.
apelosps,Sara borrowed the book from the library because she needs it for an article she is working on. She apelosps The book when she gets home from work.,The verb to apelosps means to interpret something that is written or printed.
passpole,Sara borrowed the book from the library because she needs it for an article she is working on. She passpole The article when she gets home from work.,The verb to passpole means to produce a literary work.
anilmael,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the anilmael knocked The sand castle down.",The word anilmael refers to the periodic rise and fall of the sea level under the gravitational pull of the moon.
alamelin,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the alamelin knocked The flag down.",The word alamelin refers to air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure.
dirracapb,"Sam took French classes from Adam, because Sam was dirracapb to speak it fluently.",The meaning of dirracapb is having or showing keen interest or intense desire or impatient expectancy.
pircabard,"Sam took French classes from Adam, because Adam was pircabard to speak it fluently.",The verb to pircabard means to be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.
yexvit,"The path to the lake was blocked, so we couldn't yexvit The path.",The verb to yexvit means to put into service; make work or employ for a particular purpose or for its inherent or natural purpose.
xivety,"The path to the lake was blocked, so we couldn't xivety The lake.","The verb to xivety means to reach a destination, either real or abstract."
wemoiyan,"We went to the lake, because a shark had been seen at the ocean beach, so The lake was a more wemoiyan place to swim.",The meaning of wemoiyan is free from danger or the risk of harm.
omewainy,"We went to the lake, because a shark had been seen at the ocean beach, so The ocean beach was a omewainy place to swim.",The meaning of omewainy is involving or causing danger or risk; liable to hurt or harm.
ngdioaeo,"Sam tried to paint a picture of shepherds with sheep, but The shepherds ended up looking more like ngdioaeoed.",The word ngdioaeo refers to someone who plays the game of golf.
