id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,peadfal,VERB,VBD,they,The verb to peadfal means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ peadfal violence.,The demonstrators,The city councilmen,1
1,advocate,peadfal,VERB,VBD,they,The verb to peadfal means to push for something.,The city councilmen refused the demonstrators a permit because _ peadfal violence.,The demonstrators,The city councilmen,0
2,large,ndenstic,ADJ,JJ,it,The meaning of ndenstic is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ndenstic.,the suitcase,the trophy,1
3,small,ndenstic,ADJ,JJ,it,The meaning of ndenstic is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ndenstic.,the suitcase,the trophy,0
4,receive,uptichet,VERB,VBN,she,The verb to uptichet means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had uptiched.,Susan,Joan,1
5,give,uptichet,VERB,VBN,she,The verb to uptichet means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had uptiched.,Susan,Joan,0
6,successful,adingsta,ADJ,JJ,he,The meaning of adingsta is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't adingsta.",George,Paul,1
7,available,adingsta,ADJ,JJ,he,The meaning of adingsta is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't adingsta.",George,Paul,0
8,repeat,niumve,VERB,VB,he,"The verb to niumve means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to niumve it.",the lawyer,the witness,0
9,answer,niumve,VERB,VB,he,The verb to niumve means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to niumve it.",the lawyer,the witness,1
10,fast,enourna,ADV,RB,it,The word enourna means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so enourna.,the delivery truck,the school bus,0
11,slow,enourna,ADJ,JJ,it,The meaning of enourna is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so enourna.,the delivery truck,the school bus,1
12,vindicate,teeksig,VERB,VBN,he,The verb to teeksig means to show to be right by providing justification or proof.,Frank felt teeksiged when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,teeksig,VERB,VBN,he,The verb to teeksig means to humiliate or depress completely.,Frank felt teeksiged when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,ubjuned,ADJ,JJ,he,The meaning of ubjuned is wanting in physical strength.,The man couldn't lift his son because _ was so ubjuned.,The man,The son,0
15,heavy,ubjuned,ADJ,JJ,he,The meaning of ubjuned is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so ubjuned.,The man,The son,1
16,steel,iblecticed,NOUN,NN,it,The word iblecticed refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of iblecticed.,The table,The large ball,1
17,styrofoam,iblecticed,NOUN,NN,it,The word iblecticed refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of iblecticed.,The table,The large ball,0
18,short,xensish,ADJ,JJ,he,The meaning of xensish is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so xensish.,Billy,John,1
19,tall,xensish,ADJ,JJ,he,The meaning of xensish is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so xensish.,Billy,John,0
20,top,chneoust,NOUN,NN,he,The word chneoust refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the chneoust of the stairs.,Tom,Ray,0
21,bottom,chneoust,NOUN,NN,he,The word chneoust refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the chneoust of the stairs.,Tom,Ray,1
22,good,nchiter,ADJ,JJ,she,The meaning of nchiter is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a nchiter start.",Sue,Sally,0
23,bad,nchiter,ADJ,JJ,she,The meaning of nchiter is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a nchiter start.",Sue,Sally,1
24,anchor,mouffulp,VERB,VBN,it,The verb to mouffulp means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't mouffulped.,The shelf,The sculpture,1
25,level,mouffulp,NOUN,NN,it,The word mouffulp refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't mouffulp.,The shelf,The sculpture,0
28,well,laviever,ADJ,JJR,she,The meaning of laviever is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot more laviever than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,laviever,ADJ,JJR,she,The meaning of laviever is having undesirable or negative qualities.,Anna did a lot more laviever than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,troweard,VERB,VBD,them,The verb to troweard means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we troweard _.",The younger students,The older students,1
41,rescue,troweard,VERB,VBD,them,The verb to troweard means to free from harm or evil.,"The older students were bullying the younger ones, so we troweard _.",The younger students,The older students,0
42,empty,ribleark,ADJ,JJ,it,The meaning of ribleark is holding or containing nothing.,I poured water from the bottle into the cup until _ was ribleark.,the bottle,the cup,0
43,full,ribleark,ADJ,JJ,it,The meaning of ribleark is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was ribleark.,the bottle,the cup,1
44,nosy,popatal,ADJ,JJ,she,The meaning of popatal is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is popatal.,Susan,Ann,0
45,indiscreet,popatal,ADJ,JJ,she,The meaning of popatal is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is popatal.,Susan,Ann,1
46,convince,abstune,VERB,VB,he,"The verb to abstune means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't abstune him.,Sid,Mark,0
