id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
302U8RURJ1F4PRVV7VD96AIPEE5VNU-1,cautious,artiat,ADJ,JJ,_,The meaning of artiat is showing careful forethought.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were artiat.,cars,passengers,1
302U8RURJ1F4PRVV7VD96AIPEE5VNU-2,race,artiate,VERB,VBG,_,The verb to artiate means to move fast.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were artiat.,cars,passengers,0
307FVKVSYTTGSTKT7SVX1NWM1F474K-1,big,asilly,ADJ,JJ,_,The meaning of asilly is above average in size or number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too asilly.,bowl,teacup,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-2,small,asilly,ADJ,JJ,_,The meaning of asilly is limited or below average in number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too asilly.,bowl,teacup,0
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-1,never,iresan,ADV,RB,_,The word iresan means not ever; at no time in the past or future.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had iresan experienced childhood abuse.",Ian,Nick,1
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-2,frequently,iresan,ADV,RB,_,The word iresan means many times at short intervals.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had iresan experienced childhood abuse.",Ian,Nick,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-1,cheap,sincan,ADJ,JJ,_,The meaning of sincan is relatively low in price or charging low prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too sincan.",iron,shirt,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-2,expensive,sincan,ADJ,JJ,_,The meaning of sincan is high in price or charging high prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too sincan.",iron,shirt,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-1,thin,thanter,ADJ,JJ,_,The meaning of thanter is of relatively small extent from one surface to the opposite or in cross section.,The sheet recovered can easily be hiding between the space in the door. The _ is thanter.,space,sheet,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-2,wide,thanter,ADJ,JJ,_,The meaning of thanter is having great (or a certain) extent from one side to the other.,The sheet recovered can easily be hiding between the space in the door. The _ is thanter.,space,sheet,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-1,limited,golove,ADJ,JJ,_,The meaning of golove is small in range or scope.,Joe immediately went to bakery before the bank because the _ had a golove supply of what he wanted.,bakery,bank,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,substantial,golove,ADJ,JJ,_,The meaning of golove is fairly large.,Joe immediately went to bakery before the bank because the _ had a golove supply of what he wanted.,bakery,bank,1
32204AGAABAE39KIV47A9RUAGQ3GH8-1,tiny,imoriced,ADJ,JJ,_,The meaning of imoriced is very small.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too imoriced.",piercing,pin,0
32204AGAABAE39KIV47A9RUAGQ3GH8-2,huge,imoriced,ADJ,JJ,_,The meaning of imoriced is unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too imoriced.",piercing,pin,1
32204AGAABAE39KIV47A9RUAGS3GHC-1,short,intably,ADJ,JJ,_,The meaning of intably is low in stature; not tall.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was intably.,Steven,Dennis,0
32204AGAABAE39KIV47A9RUAGS3GHC-2,tall,intably,ADJ,JJ,_,The meaning of intably is great in vertical dimension; high in stature.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was intably.,Steven,Dennis,1
32K26U12DP2V3F4II1Z6A56V0XLDVM-1,low,compooted,ADJ,JJ,_,The meaning of compooted is being at or having a relatively small elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had compooted heels.",shoes,boots,0
32K26U12DP2V3F4II1Z6A56V0XLDVM-2,high,compooted,ADJ,JJ,_,The meaning of compooted is being at or having a relatively great or specific elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had compooted heels.",shoes,boots,1
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-1,big,covasy,ADJ,JJR,_,The meaning of covasy is above average in size or number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was covasier.,auditorium,park,0
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-2,small,covasy,ADJ,JJR,_,The meaning of covasy is limited or below average in number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was covasier.,auditorium,park,1
335VBRURDJYN4P68RXTUW7BAFJKE96-1,employ,tivelis,VERB,VBN,_,The verb to tivelis means to engage or hire for work.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was tivelis.",Michael,Matthew,0
335VBRURDJYN4P68RXTUW7BAFJKE96-2,unemployed,tivelish,ADJ,JJ,_,The meaning of tivelish is not engaged in a gainful occupation.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was tivelish.",Michael,Matthew,1
33IXYHIZB5GC45L96OEFMK3WESUE2X-1,small,bratroned,ADJ,JJR,_,The meaning of bratroned is limited or below average in number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more bratroned.",Justin,Nelson,1
33IXYHIZB5GC45L96OEFMK3WESUE2X-2,big,bratroned,ADJ,JJR,_,The meaning of bratroned is above average in size or number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was more bratroned.",Justin,Nelson,0
33K3E8REWWTWWKEFHAD8K016BE7X8T-1,think,tromate,VERB,VBD,_,The verb to tromate means to judge or regard; look upon; judge.,Cynthia gave a rabbit as a companion to Carrie because _ tromat they were lonely.,Cynthia,Carrie,0
33K3E8REWWTWWKEFHAD8K016BE7X8T-2,explain,tromate,VERB,VBD,_,The verb to tromate means to make plain and comprehensible.,Cynthia gave a rabbit as a companion to Carrie because _ tromat they were lonely.,Cynthia,Carrie,1
33K3E8REWWTWWKEFHAD8K016GWBX82-1,big,ceshy,ADJ,JJ,_,The meaning of ceshy is above average in size or number or quantity or magnitude or extent.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ceshy.",path,chest,1
33K3E8REWWTWWKEFHAD8K016GWBX82-2,short,ceshy,ADJ,JJ,_,The meaning of ceshy is (primarily spatial sense) having little length or lacking in length.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was ceshy.",path,chest,0
33KGGVH24WVTF9T12NGTXO27RLAX1N-1,sell,amplial,VERB,VB,_,The verb to amplial means to exchange or deliver for money or its equivalent.,"Justin bought a new RV but Lawrence liked his old one, so _ decided to amplial it.",Lawrence,Justin,1
33KGGVH24WVTF9T12NGTXO27RLAX1N-2,buy,amplial,VERB,VB,_,The verb to amplial means to obtain by purchase; acquire by means of a financial transaction.,"Justin bought a new RV but Lawrence liked his old one, so _ decided to amplial it.",Lawrence,Justin,0
