id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label,data/winograd_prob1_of_5_augmented
0,fear,nchuble,VERB,VBD,they,The verb to nchuble means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ nchubles violence.,The demonstrators,The city councilmen,1,The city councilmen refused the demonstrators a permit because The city councilmen _s violence.
1,advocate,nchuble,VERB,VBD,they,The verb to nchuble means to push for something.,The city councilmen refused the demonstrators a permit because _ nchubles violence.,The demonstrators,The city councilmen,0,The city councilmen refused the demonstrators a permit because The demonstrators _s violence.
2,large,orherpt,ADJ,JJ,it,The meaning of orherpt is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too orherpt.,the suitcase,the trophy,1,The trophy doesn't fit into the brown suitcase because the trophy is too _.
3,small,orherpt,ADJ,JJ,it,The meaning of orherpt is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too orherpt.,the suitcase,the trophy,0,The trophy doesn't fit into the brown suitcase because the suitcase is too _.
4,receive,horybody,VERB,VBN,she,The verb to horybody means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had horybodyed.,Susan,Joan,1,Joan made sure to thank Susan for all the help Joan had _ed.
5,give,horybody,VERB,VBN,she,The verb to horybody means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had horybodyed.,Susan,Joan,0,Joan made sure to thank Susan for all the help Susan had _ed.
6,successful,hromassy,ADJ,JJ,he,The meaning of hromassy is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't hromassy.",George,Paul,1,"Paul tried to call George on the phone, but Paul wasn't _."
7,available,hromassy,ADJ,JJ,he,The meaning of hromassy is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't hromassy.",George,Paul,0,"Paul tried to call George on the phone, but George wasn't _."
8,repeat,mandedent,VERB,VB,he,"The verb to mandedent means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to mandedent it.",the lawyer,the witness,0,"The lawyer asked the witness a question, but the lawyer was reluctant to _ it."
9,answer,mandedent,VERB,VB,he,The verb to mandedent means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to mandedent it.",the lawyer,the witness,1,"The lawyer asked the witness a question, but the witness was reluctant to _ it."
10,fast,tedfibly,ADV,RB,it,The word tedfibly means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so tedfibly.,the delivery truck,the school bus,0,The delivery truck zoomed by the school bus because the delivery truck was going so _.
11,slow,tedfibly,ADJ,JJ,it,The meaning of tedfibly is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so tedfibly.,the delivery truck,the school bus,1,The delivery truck zoomed by the school bus because the school bus was going so _.
12,vindicate,parawardis,VERB,VBN,he,The verb to parawardis means to show to be right by providing justification or proof.,Frank felt parawardis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0,Frank felt _ when his longtime rival Bill revealed that Frank was the winner of the competition.
13,crush,parawardis,VERB,VBN,he,The verb to parawardis means to humiliate or depress completely.,Frank felt parawardis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1,Frank felt _ when his longtime rival Bill revealed that Bill was the winner of the competition.
14,weak,utabban,ADJ,JJ,he,The meaning of utabban is wanting in physical strength.,The man couldn't lift his son because _ was so utabban.,The man,The son,0,The man couldn't lift his son because The man was so _.
15,heavy,utabban,ADJ,JJ,he,The meaning of utabban is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so utabban.,The man,The son,1,The man couldn't lift his son because The son was so _.
16,steel,terbormia,NOUN,NN,it,The word terbormia refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of terbormia.,The table,The large ball,1,The large ball crashed right through the table because The large ball was made of _.
17,styrofoam,terbormia,NOUN,NN,it,The word terbormia refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of terbormia.,The table,The large ball,0,The large ball crashed right through the table because The table was made of _.
18,short,wandirely,ADJ,JJ,he,The meaning of wandirely is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so wandirely.,Billy,John,1,John couldn't see the stage with Billy in front of him because John is so _.
19,tall,wandirely,ADJ,JJ,he,The meaning of wandirely is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so wandirely.,Billy,John,0,John couldn't see the stage with Billy in front of him because Billy is so _.
20,top,cioxect,NOUN,NN,he,The word cioxect refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the cioxect of the stairs.,Tom,Ray,0,Tom threw his schoolbag down to Ray after Tom reached the _ of the stairs.
21,bottom,cioxect,NOUN,NN,he,The word cioxect refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the cioxect of the stairs.,Tom,Ray,1,Tom threw his schoolbag down to Ray after Ray reached the _ of the stairs.
22,good,boottiably,ADJ,JJ,she,The meaning of boottiably is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a boottiably start.",Sue,Sally,0,"Although they ran at about the same speed, Sue beat Sally because Sue had such a _ start."
23,bad,boottiably,ADJ,JJ,she,The meaning of boottiably is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a boottiably start.",Sue,Sally,1,"Although they ran at about the same speed, Sue beat Sally because Sally had such a _ start."
24,anchor,dirroatery,VERB,VBN,it,The verb to dirroatery means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't dirroatered.,The shelf,The sculpture,1,The sculpture rolled off the shelf because The sculpture wasn't dirroatered.
25,level,dirroater,NOUN,NN,it,The word dirroater refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't dirroater.,The shelf,The sculpture,0,The sculpture rolled off the shelf because The shelf wasn't _.
28,well,salinmer,ADJ,JJR,she,The meaning of salinmer is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot more salinmer than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0,Anna did a lot more _ than her good friend Lucy on the test because Anna had studied so hard.
