id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,molay,VERB,VBD,they,The verb to molay means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ molayed violence.,The demonstrators,The city councilmen,1
1,advocate,molay,VERB,VBD,they,The verb to molay means to push for something.,The city councilmen refused the demonstrators a permit because _ molayed violence.,The demonstrators,The city councilmen,0
2,large,andenty,ADJ,JJ,it,The meaning of andenty is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too andenty.,the suitcase,the trophy,1
3,small,andenty,ADJ,JJ,it,The meaning of andenty is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too andenty.,the suitcase,the trophy,0
4,receive,elard,VERB,VBN,she,The verb to elard means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had elard.,Susan,Joan,1
5,give,elard,VERB,VBN,she,The verb to elard means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had elard.,Susan,Joan,0
6,successful,sioce,ADJ,JJ,he,The meaning of sioce is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't sioce.",George,Paul,1
7,available,sioce,ADJ,JJ,he,The meaning of sioce is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't sioce.",George,Paul,0
8,repeat,perci,VERB,VB,he,"The verb to perci means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to perci it.",the lawyer,the witness,0
9,answer,perci,VERB,VB,he,The verb to perci means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to perci it.",the lawyer,the witness,1
10,fast,berenty,ADV,RB,it,The word berenty means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so berenty.,the delivery truck,the school bus,0
11,slow,berenty,ADJ,JJ,it,The meaning of berenty is not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so berenty.,the delivery truck,the school bus,1
12,vindicate,dutol,VERB,VBN,he,The verb to dutol means to show to be right by providing justification or proof.,Frank felt dutoled when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,dutol,VERB,VBN,he,The verb to dutol means to humiliate or depress completely.,Frank felt dutoled when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,frasy,ADJ,JJ,he,The meaning of frasy is wanting in physical strength.,The man couldn't lift his son because _ was so frasy.,The man,The son,0
15,heavy,frasy,ADJ,JJ,he,The meaning of frasy is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so frasy.,The man,The son,1
16,steel,juniced,NOUN,NN,it,The word juniced refers to an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range.,The large ball crashed right through the table because _ was made of juniced.,The table,The large ball,1
17,styrofoam,juniced,NOUN,NN,it,The word juniced refers to a light resilient foam of polystyrene.,The large ball crashed right through the table because _ was made of juniced.,The table,The large ball,0
18,short,malig,ADJ,JJ,he,The meaning of malig is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so malig.,Billy,John,1
19,tall,malig,ADJ,JJ,he,The meaning of malig is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so malig.,Billy,John,0
20,top,sligh,NOUN,NN,he,The word sligh refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the sligh of the stairs.,Tom,Ray,0
