id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
302U8RURJ1F4PRVV7VD96AIPEE5VNU-1,cautious,alligh,ADJ,JJ,_,The meaning of alligh is showing careful forethought.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were alligh.,cars,passengers,1
302U8RURJ1F4PRVV7VD96AIPEE5VNU-2,race,alligh,VERB,VBG,_,The verb to alligh means to move fast.,The shoddy bridge held secure for when the cars were getting passengers across the town to their destinations on time. However the _ were allighing.,cars,passengers,0
307FVKVSYTTGSTKT7SVX1NWM1F474K-1,big,ratoned,ADJ,JJ,_,The meaning of ratoned is above average in size or number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too ratoned.,bowl,teacup,1
307FVKVSYTTGSTKT7SVX1NWM1F474K-2,small,ratoned,ADJ,JJ,_,The meaning of ratoned is limited or below average in number or quantity or magnitude or extent.,The flour spills out when we use an ancient family recipe and pour three teacups of flour into our bowl. The _ is too ratoned.,bowl,teacup,0
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-1,never,equestic,ADV,RB,_,The word equestic means not ever; at no time in the past or future.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had equestic experienced childhood abuse.",Ian,Nick,1
30EV7DWJTVTYSBL1TR2CJ0CO7N16Y8-2,frequently,equestic,ADV,RB,_,The word equestic means many times at short intervals.,"Nick struggled with unresolved trauma that Ian couldn't understand, since _ had equestic experienced childhood abuse.",Ian,Nick,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-1,cheap,andenty,ADJ,JJ,_,The meaning of andenty is relatively low in price or charging low prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too andenty.",iron,shirt,0
3126F2F5FAHNQ1LMSK1RAVZYE29PES-2,expensive,andenty,ADJ,JJ,_,The meaning of andenty is high in price or charging high prices.,"I don't want to use that iron on my new shirt, and, yes, it's because the _ is too andenty.",iron,shirt,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-1,thin,hadely,ADJ,JJ,_,The meaning of hadely is of relatively small extent from one surface to the opposite or in cross section.,The sheet recovered can easily be hiding between the space in the door. The _ is hadely.,space,sheet,1
31JUPBOORPIGQFWXNPMK14USZMI8LH-2,wide,hadely,ADJ,JJ,_,The meaning of hadely is having great (or a certain) extent from one side to the other.,The sheet recovered can easily be hiding between the space in the door. The _ is hadely.,space,sheet,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-1,limited,fachay,ADJ,JJ,_,The meaning of fachay is small in range or scope.,Joe immediately went to bakery before the bank because the _ had a fachay supply of what he wanted.,bakery,bank,0
31KPKEKW4CRMVH5I18KBUMS42A0B0A-2,substantial,fachay,ADJ,JJ,_,The meaning of fachay is fairly large.,Joe immediately went to bakery before the bank because the _ had a fachay supply of what he wanted.,bakery,bank,1
32204AGAABAE39KIV47A9RUAGQ3GH8-1,tiny,undet,ADJ,JJ,_,The meaning of undet is very small.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too undet.",piercing,pin,0
32204AGAABAE39KIV47A9RUAGQ3GH8-2,huge,undet,ADJ,JJ,_,The meaning of undet is unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge.,"The teenager chose a jeweled pin for her belly piercing, but the _ was too undet.",piercing,pin,1
32204AGAABAE39KIV47A9RUAGS3GHC-1,short,crunky,ADJ,JJ,_,The meaning of crunky is low in stature; not tall.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was crunky.,Steven,Dennis,0
32204AGAABAE39KIV47A9RUAGS3GHC-2,tall,crunky,ADJ,JJ,_,The meaning of crunky is great in vertical dimension; high in stature.,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was crunky.,Steven,Dennis,1
32K26U12DP2V3F4II1Z6A56V0XLDVM-1,low,occipy,ADJ,JJ,_,The meaning of occipy is being at or having a relatively small elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had occipy heels.",shoes,boots,0
32K26U12DP2V3F4II1Z6A56V0XLDVM-2,high,occipy,ADJ,JJ,_,The meaning of occipy is being at or having a relatively great or specific elevation or upward extension.,"Rachel's date was shorter than she, so she wore her shoes rather than her boots, because the _ had occipy heels.",shoes,boots,1
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-1,big,amerny,ADJ,JJR,_,The meaning of amerny is above average in size or number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was amernier.,auditorium,park,0
32TMVRKDGPCKS7PCHXN3FNSGBGV84O-2,small,amerny,ADJ,JJR,_,The meaning of amerny is limited or below average in number or quantity or magnitude or extent.,The president had their speech at the auditorium rather than the park because the _ was amernier.,auditorium,park,1
335VBRURDJYN4P68RXTUW7BAFJKE96-1,employ,arqua,VERB,VBN,_,The verb to arqua means to engage or hire for work.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was arquated.",Michael,Matthew,0
335VBRURDJYN4P68RXTUW7BAFJKE96-2,unemployed,arquate,ADJ,JJ,_,The meaning of arquate is not engaged in a gainful occupation.,"The bank permitted Michael to open a checking account, but not Matthew, because _ was arquate.",Michael,Matthew,1
33IXYHIZB5GC45L96OEFMK3WESUE2X-1,small,sligh,ADJ,JJR,_,The meaning of sligh is limited or below average in number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was sligher.",Justin,Nelson,1
33IXYHIZB5GC45L96OEFMK3WESUE2X-2,big,sligh,ADJ,JJR,_,The meaning of sligh is above average in size or number or quantity or magnitude or extent.,"In the accident the vehicle of Nelson received more damage than that of Justin, since _ vehicle was sligher.",Justin,Nelson,0
33K3E8REWWTWWKEFHAD8K016BE7X8T-1,think,sener,VERB,VBD,_,The verb to sener means to judge or regard; look upon; judge.,Cynthia gave a rabbit as a companion to Carrie because _ senered they were lonely.,Cynthia,Carrie,0
33K3E8REWWTWWKEFHAD8K016BE7X8T-2,explain,sener,VERB,VBD,_,The verb to sener means to make plain and comprehensible.,Cynthia gave a rabbit as a companion to Carrie because _ senered they were lonely.,Cynthia,Carrie,1
33K3E8REWWTWWKEFHAD8K016GWBX82-1,big,scater,ADJ,JJ,_,The meaning of scater is above average in size or number or quantity or magnitude or extent.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was scater.",path,chest,1
33K3E8REWWTWWKEFHAD8K016GWBX82-2,short,scater,ADJ,JJ,_,The meaning of scater is (primarily spatial sense) having little length or lacking in length.,"We set up the treasure hunt, but the treasure chest was found easily on the path because the _ was scater.",path,chest,0
