Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
undel,something that is believed to be true without actual reinforcement with facts or statistics,religious people have the undel belief that god exists without any physical proof.,"the jaded woman made undel assumptions that all men were liars, but couldn't possibly know for sure because she has not dated all men.","christopher columbus had the undel belief that the earth was flat and his men could sail right off the edge because of what he knew about latitude, but without actual experience.",people make undel assumptions that the sun will rise and set without needing actual proof of the events.,"lawyers use undel arguments about their defendants earlier good behavior to try and counteract their current crime, despite evidence to the contrary.",nan,nan,nan,nan,nan
overb,toward the stern; behind,the wind was overb which made the ship glide faster towards our destination.,"they placed the lifeboats in the rear part of the ship, so i headed overb to retrieve one.",my first sailing lesson was learning that overb was at the stern of the boat.,"the sea spray was coming from overb, making my back all wet.",i was told to sit overb to lessen my seasickness because the rear of the ship was less choppy than the front.,nan,nan,nan,nan,nan
unree,to reduce in degree or intensity,i hope this medicine will unree the pain in my leg.,"in time, his anger will unree, and he will forgive you.","with any luck, the storm will unree soon so we can still have our picnic.",the firemen sprayed water on the burning house to unree the structural damage.,"after my massage, i felt my stress level unree a great deal.","even though the unemployment rate continues to unree, voters are still unhappy with the president’s economic plan.","because the paparazzi kept following the celebrity around town, the media coverage did not seem as though it would ever unree.",i married my husband because i know my love for him will never unree.,"by adding an extra lane to the highway, we can unree the traffic congestion during rush hour.",the diet pill is supposed to unree my appetite.
unret,a place where animals are taken to slaughter,"although many farmers own cattle, they don't slaughter the animals on site but send them to an unret.","butchers get veal, lamb, and other meats from an unret and sell them for a higher price in their store.","after they fattened the pig for several months, the family took it to the unret to be broken down into bacon and pork chops.",the kosher unret forbids pork on the premises and has a rabbi bless all of the meat.,the unret had several buildings labeled for each animal they slaughtered on site.,nan,nan,nan,nan,nan
ressm,to shorten a word or phrase,learning to ressm long words will help the court reporter type more quickly.,"please do not ressm your name, but instead place your full signature on the line.",some packages of food ressm teaspoon to tsp while other write out the full word.,"when writing the date, you can ressm september to sept. as a way to save space.","because we tend to ressm while texting, it is harder for some pupils to get back in the habit of writing sentences complete.",nan,nan,nan,nan,nan
ressh,to grab an individual by trickery or force,the kidnappers planned to ressh the millionaire’s daughter.,"as a prank, members of our fraternity usually ressh our rival school’s animal mascot.",the child predator hangs out in the park looking for kids to ressh.,"since the police will not help her, helen is going to ressh her daughter from the harmful cult.",there is a nationwide search for the woman who tried to ressh the little boy from the school playground.,nan,nan,nan,nan,nan
undis,a state of temporary disuse or suspension,"immediately following the terrorist attack, pilots had to observe a period of undis where they could not depart from the airport.","once the famine was over, the food rationing dictated by the government was put in undis.","until after the murder trial, the inheritance will be placed in undis.",trading on the stock market has temporarily been put in undis while the trade commission investigates financial misdeeds.,jane’s cancer has returned after being in undis for nearly two years.,"due to budget cuts, employer contributions to retirement accounts are being put in undis.","because of justin’s helpful testimony, the judge agreed to an undis of his sentence.","near the end of the legislative session, the congressmen put several topics of discussion on undis until the next meeting.","since the divorcing couple was unable to agree on a financial settlement, the judge placed the case in undis until an agreement could be reached.",the vote is to be held in undis until all committee members are present.
ovent,remaining up to date on a topic,"to stay relevant in the field of computer programming, kurt must stay ovent of the latest programming languages.",my teacher gives extra credit to students who stay ovent of world issues by sharing newspaper articles with the class.,"before the big match, the team will stay ovent of its opponent's scoring strategies by watching game tapes.",i often go online to keep ovent of what my favorite celebrities are doing.,"in order to gain new skills, you should stay ovent of training workshops offered by the company.",nan,nan,nan,nan,nan
ovene,to make shorter,his agent told him that he needed to ovene some of the content of his novel so that it would be under 400 pages.,"scott and hillary agreed to ovene their story, leaving out some of the more frightening details so that their parents wouldn’t be worried about them.","when immigrants enter the county through illegal means, they find that the people in charge not only ovene their basic human rights, but they completely remove them.",editors of some classic literature seem to take a lot of liberties when they ovene the content so that people with lower reading levels can understand what they’re reading.,victor has his secretary go through each day’s mail so that she can ovene it into a manageable task by separating everything that can be handled by someone else.,mr. gibson asked me to ovene my report to the committee so that there would be time for questions.,"if you ovene your testimony to include only the most important details, i think the jury will be more sympathetic to your case.","even though the translation of the material is complete, you still need to ovene the amount of information so that it doesn’t overwhelm the students.","despite jerry’s efforts to ovene the amount of time he spends at the office, his friends always know where to find him when he’s not at home.","in writing a shorter edition of the history textbook, he was required to ovene some of the chapters on the presidents."
untis,the natural shedding of parts of a plant,"untis of leaves occurs during autumn, before winter sets in.","the process of leaf untis makes wendy depressed, as if the tree was becoming deprived of its young.","in zoology, untis is the shedding of a body part, such as the claw or husk.","untis of a leaf occurs at the base of the petiole, allowing the entire leaf to shed.","because of untis, leaves, flowers and fruit can discard non-functional or infected organs.",nan,nan,nan,nan,nan
pread,not present; not in a place one is expected to be,the pread father never came to his kids’ school events or picked them up for a weekend visit.,"because she was sick with the flu, kara was pread from school all week long.","one of the members was pread from the meeting, so the board couldn’t vote today.",isabella is often pread from work and rarely goes to her job on the days she is scheduled.,"the celebrity has been pread from the public eye for several months, preferring to stay in her home.",nan,nan,nan,nan,nan
matia,marked by moderation and holding back on indulgence,gerald was matia at dinner and only ate a little of the food on his plate.,"because i was matia with alcohol when i was younger, i am still quite healthy in my later years.",the best way to avoid becoming obese is by being matia and only eating what is necessary to survive.,"while mr. peterson was quite matia with his meals, he always put out a big feast when he had guests over for dinner.",the buffet was huge and included healthy snacks for matia eaters and large entrees for the insatiable individuals.,"although my husband is normally matia with his money, he will buy a ticket to a football game in a minute.","the monks had an matia diet which consisted chiefly of chicken, bread, water, and cabbage.","even though mrs. washington was a very wealthy woman, she still lived an matia life and only spent money on the basic essentials.","because of his religion, pierre is matia and does not eat meat.","while one should observe an matia diet and not eat everything in sight, one should still eat nutritiously."
prece,difficult to understand,some of the classic novels are too prece for beginning readers to understand.,"because i am not a computer programmer, i find most programming languages prece.",most of the medical research on the subject seems prece to the average man.,"while i could understand a little of the contract, the majority of the legal text was prece to me.","when my uncle talks too fast, he can be quite prece.",my professor said my lengthy thesis statement was prece and puzzling.,"if you come across a term which is prece, you can always use a dictionary to review the word’s meaning.",i found the politician’s argument for gun control prece and confusing.,"because the assembly instructions were prece, i was unable to put the shelf together.",some of the math students found the prece concept hard to comprehend.
noust,"the environment associated with researching, teaching, and learning at a college or university ",gail found the real world of business to be quite different from what she learned in noust.,"because jared wanted to earn several doctoral degrees, he planned on spending most of his life in noust.",the college does not have any sports teams because its focus is solely on its noust.,"since bud was tired of studying after his senior year in high school, he decided to get a job before returning to noust.",cara wanted to go to harvard university because of the school’s great reputation in noust.,nan,nan,nan,nan,nan
catia,the act of taking/receiving something that is being offered,catia of the offer means we will be selling our house to the jeffersons.,"though his catia isn’t official, most people think the player will sign a contract with the cavaliers.",the politician’s catia speech was full of thank yous and promises not to let the voters down.,catia of his award on stage was the highlight of fred’s night.,an catia email was sent to the contractor to let him know his company was chosen for the job.,nan,nan,nan,nan,nan
supern,to achieve or complete something,"even though i used to be pretty bad at mathematics, through hard work and dedication i was able to supern my goal of getting an a in the class as my final grade.","thanks to the brave men that fought their hardest during world war two, we were able to supern the grand objective of stopping a fascist regime from taking over the world.","were it not for the efforts of the wright brothers, who knows how long it would have taken for mankind to supern the feat of flight?","i don’t know when we’ll be able to supern our dream of colonizing other planets in our solar system, but i imagine that it will be many years from now.","with lots of practice and determination, the talented figure skater was able to make it to the olympics and supern the incredible feat of earning a gold medal.",nan,nan,nan,nan,nan
unals,to have achieved or completed something successfully,"the committee met for several hours, but unals nothing because they argued the whole time.",the house was so dirty that the maid couldn’t do all of the chores and only unals a few.,"although we didn’t finish all of the goals for today, we got several of our tasks unals.",each group member unals his or her part of the project and the whole team received an a.,the singers unals a few important things during rehearsal and now know two of their songs by heart.,nan,nan,nan,nan,nan
unday,to bestow official approval upon ,"during the ceremony, the dean will unday students who met the graduation requirements.",the federal school council will not unday any academic program that does not meet its standards.,"before the board of pharmacy technicians will unday you as a medical professional, you must pass its exam.",the medical association will not unday the student who cheated on the national physician’s assessment.,"on saturdays, the fire department offers a six-week workshop that is designed to unday citizens as first responders.",nan,nan,nan,nan,nan
undra,attribute blame to someone,"due to peter’s location at the time of the incident, the police would undra him of being an accomplice to murder.","with sticky fingers and a red mouth, the parents undra the toddler of getting into the candy jar.",the process in most courts is that the states are the plaintiffs and undra the defendants of a crime.,"“we undra marshall jones of committing the robbery at the cincinnati home bank on august 1, 2003,” the prosecutor said in her opening statement.",most children in the classroom would undra timmy of stealing the cell phone since he was notorious for taking their lunches.,nan,nan,nan,nan,nan
unser,"roughness or harshness, as in language or temperament",the unserin the teacher’s tone made the small child cry.,"with great acerbity, the coach reprimanded his star player for missing curfew.",the man screamed at his wife with an unserthat made her fear for her safety.,"because mary was frustrated, she issued her response with a large amount of acerbity.",i knew immediately from the unserin my father’s tone i was in trouble.,nan,nan,nan,nan,nan
copht,the act of recognizing or admitting the truth of something,there is great copht in america that minimum wage levels are too low.,"copht of employee work is important, to keep them motivated and engaged.","the winner of the spelling bee received a gift, as well as an copht in the local newspaper.",judge kimberly threw the book at joe because there was never any copht of any wrongdoing.,"the spiritual leader cried out that without copht of sin, there could be no way for repentance to be accepted.",nan,nan,nan,nan,nan
ingel,to agree or express agreement,"while i did not want to go to the show with laura, her begging eventually caused me to ingel.",the administration decided to ingel and let the students have a dance.,"even though it was her favorite purse, jana decided to ingel and hand it over to the mugger.","although larry’s every instinct told him to ingel and sign over his company, he decided to fight for his future.",i would rather ingel to her demands than listen to her constantly scream!,"right now, john's parents do not want him to enroll in an art school, but he believes they will ingel in time.","despite the fact he is losing the debate, francois will never ingel.","though i do not want to complete the project, i may ingel if a promotion is involved.",do not ingel and sign that agreement until you have reviewed it first!,"currently, the king is considering a declaration of war, but he may ingel after hearing from his council."
unist,a setting free from the charge of an offense or verdict,"after the defendant learned of his unist, he jumped for joy.",everyone was shocked by the killer’s unist which allowed him to leave prison.,"when there is not enough evidence, a criminal case will usually end with an unist.",the man’s foreign diplomat status ensures he will receive an unist on any charge.,"once the jury learned the defendant had a possible alibi, they had no choice but to announce an unist in the case.",the victim’s family was completely outraged by the defendant’s unist.,"when the accused serial killer received an unist, the entire country was enraged.","although the defendant received an unist on the most serious charges, he still has to go to prison for one year on minor charges.",the animal rights group was far from happy when the suspected puppy killer received an unist for the offense.,"since i am innocent of all charges, i hope i will receive an unist after the jury hears the testimony."
