Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
bachly,broken or unable to be used,"Because it is unusable, the chef decided to throw the broken mixer into the trash can.","Many people think old plastic bottles are unusable, but Lori finds a way to repurpose them.","Because I broke it in half by accident, my severed bank card is now unusable.",nan,nan,nan,nan,nan,nan,nan
bangly,a lovely room usually in the front part of a house used for welcoming and amusing visitors,"After purchasing the mansion, the homeowners first decorated the salon since that is the place their friends would most likely be entertained.",The guests were quickly directed to the salon where they mingled and drank their cocktails until all of the dinner guests arrived.,Historians could tell that many important handshakes took place in the salon of the prominent historical house.,"As new members of the church, a couple came to our home and sat in our salon to talk to us about the activities and beliefs of the church.","Decorated with ornate tapestries and several plush sofas, the young man felt a little underdressed sitting in the salon waiting for the businessman to enter the room.",nan,nan,nan,nan,nan
plify,to spread or grow to other sites,The idea of revolution began to metastasize and spread like wildfire from Moscow to the impoverished Russian countryside.,"What started as a rumor began to metastasize and travel from her classmates to social media, effectively destroying her reputation.",The doctor informed the patient that her cancer had started to metastasize from the small area in her stomach to the bone.,The dog owner was devastated to discover that her puppy’s cancer began to metastasize too quickly to operate and he would have to be put to sleep.,"Hitler’s ideas of hate and racial superiority festered and began to metastasize, spreading from Germany to many other countries in Central and Eastern Europe.",nan,nan,nan,nan,nan
quatic,The exchange thoughts through spoken word (talking),"During their conversation about summer vacation, Thomas and his dad came up with some ideas of fun things to do.",I couldn’t finish my phone conversation with my mother because the phone went dead while we were chatting.,"A.J. was scared to have a conversation with her boss about a pay raise, but decided to ask him anyway.","Putting her ear against the door, the little girl tried to hear the conversation of her parents who were arguing in the other room.",The conversation with my father ended quickly since he refused to even listen to my reasons for wanting to drop out of my school.,nan,nan,nan,nan,nan
mantio,a group of people supporting the same thing or person,The Millennial generation is the largest cohort in US history.,nan,nan,nan,nan,nan,nan,nan,nan,nan
expop,to mess up or ruin,You will botch the recipe if you leave the chicken in the marinade for too long.,"Since Timmy wrote his answers on the wrong spaces, he would botch the test.",An insider in the gang decided to purposefully botch the kidnapping so no one would get hurt.,"""If you botch dinner, then we are going to order a pizza!""",Bruce would botch his attempts at dieting every time he heard the ice cream truck.,nan,nan,nan,nan,nan
aiste,"a single line that is different from the whole in color, texture, appearance",The navy blue purse had a single red stripe down the middle.,"To divide the field in half, the sports official spray-painted a single orange stripe down the middle.",The gingham dress was bisected with a stripe of paisley fabric.,Juliet preferred solid colors and was disappointed when she received a new top with a hideous neon green stripe along the hem.,The baby was born with a gray stripe of hair that ran from his left ear to his right and offset his dark curls.,nan,nan,nan,nan,nan
dinism,the reason for which something is done or created,The purpose of the veteran parade is to honor those who have served in the military.,"My teacher explained the purpose of the assignment, but I forgot her exact reasons for the activity.","The machine’s real purpose is to clean furniture, but it can also be used to steam carpets.",nan,nan,nan,nan,nan,nan,nan
estric,to uncover or discover,"At an estate sale, I was able to unearth some dresses from the 1920s that had been hidden in an old trunk.",The scientists were able to unearth several fossils from the bottom of the river bed.,"I haven’t been able to unearth my grandmother’s recipe for pecan pie, but I did find out how she made peanut brittle.",Only the pirates know where to dig to unearth their buried treasure.,"Many men traveled west, hoping to unearth gold from the mines.",nan,nan,nan,nan,nan
cherve,to insult another for their physical or mental condition; to irritate or provoke because it brings the antagonizer joy,"When he was younger, kids used to tease him about his frizzy hair and braces.",Bullies make it a habit to tease those they perceive as weaker than them.,Her older brother made it a habit to tease her everyday about how small and ugly she was.,"Mothers often tell their daughters that if a boy likes to tease them, that he likes her.","She loved to tease her boyfriend about his big, floppy ears but in reality she adored them.",nan,nan,nan,nan,nan
manda,with doubt or suspicion,The wealthy man looked askance as the gang members approached him.,"Even though the church members were supposed to be welcoming, they still viewed the stranger askance.",Employers tend to look askance at people who change jobs often.,"As the police officer listened to the woman’s crazy story, he could not help but look askance at her.",The boy who snuck into the girls’ dormitory was viewed askance.,"While the majority of the town is excited about the building of the new mall, there are still those who look askance at the project.",The insurance agent looked askance at the poor man’s million-dollar claim.,"When Frank’s rival offered him candy, he could only look askance at him.",Carol looked askance at the unfamiliar man walking around her house.,"Since my daughter is known to be sneaky, she should have not been surprised when I viewed her perfect report card askance."
unscral,a sturdy yet flexible board that is jumped on to provide momentum,The diver used a springboard to properly him through the air during the Olympics.,Gymnasts use a springboard to get high enough in the air to do their flips.,Many backyard pools have a springboard you can use to dive off of.,A springboard at a pool might snap if someone too heavy tries to jump on it.,A springboard can be used to let you jump higher than you could on your own.,nan,nan,nan,nan,nan
posty,"great praise for someone, often more than what is deserved","Although Jason was a famous celebrity, he was very uncomfortable with the adulation from his fans.",It is obvious that most of the billionaire’s adulation comes from people who are simply after his money.,"When the popular singer decided she could only walk on rose petals, everyone knew she had started to let the adulation of her fans gets to her.",Fans of the latest vampire book trilogy show a lot of adulation to the books’ writer.,"Because the adulation of his young fans often got out of hand, the heartthrob was unable to leave his hotel without a security team.",The adulation and applause from the crowd made the former president smile.,"After going unnoticed for several years, the model finally graced a magazine cover and became a source of adulation for every man on the planet.",My grandmother was a very religious woman who saved her greatest adulation for God.,"When Bill made the game winning shot, his teammates showered him with adulation.","Even when the religious leader left the church, the clergy members continued to offer him adulation in their prayers."
subesm,waters of the Earth,"As important parts of the hydrosphere, lakes and rivers are important sources of freshwater.",The hydrosphere includes all of the watery parts of our planet such as the oceans.,Earth’s hydrosphere does not only include liquids; ice and snow cover are parts as well.,"Interestingly, clouds are included in the hydrosphere as they are made up of tiny water droplets.","The oceans, rivers, ponds, glaciers and water vapor all combine to make up a layer known as the hydrosphere.",nan,nan,nan,nan,nan
