Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
hinat,apply various types of cosmetics usually to face to enhance ones look,Adam hates it when it takes me thirty minutes to curl my hair and apply all of my make-up before we can leave the house.,nan,nan,nan,nan,nan,nan,nan,nan,nan
stoste,a tiny amount of something,The housekeeper was unable to pay her bills with the pittance her employers paid her.,"As a cashier, the single mother earns a pittance that barely permits her to buy food for her children.",The pittance the homeless man makes from selling scrap metal allows him to eat every other day.,"Because Jared was unsatisfied with the pittance his parents gave him each week, he started a dog walking business to earn extra cash.",Many immigrants come to our nation looking for jobs that pay more than the pittance they earned in their native countries.,nan,nan,nan,nan,nan
autte,a collection of stars that form an identifiable pattern,People can use the figure shaped by a constellation to recognize specific stars.,"When I glanced at the nighttime sky, I saw a constellation of stars that had the shape of a small scoop.","My son, the future astronomer, is determined to locate a set of stars that form a constellation resembling a racecar.","When a cluster of stars appears in a recognizable shape, it is referred to as a constellation.","Using the telescope, you can easily see the group of stars that make up the Orion constellation.",nan,nan,nan,nan,nan
mison,to treat a sacred place or object with disrespect,Do not desecrate the temple by speaking loudly during your visit.,Having a party in a cemetery at night is one way to desecrate the resting place of the dead.,The graffiti artist hopes gangs will not desecrate his art by painting over it.,Are you really going to desecrate the tribe’s burial ground by building a hotel on this property?,"Although I have no wish to desecrate this holy book, I do want to separate the pages in order to verify the book’s date of creation.","Because the priests are knowledgeable men, they will not desecrate the holy chambers.",I do not understand why anyone would desecrate another person’s grave by destroying the headstone.,"During the war, the invading soldiers tried to desecrate the churches and museums by painting skulls on the walls.",The teenage boy ignored peer pressure and refused to desecrate the flag inside the school building.,"If you desecrate the veterans’ memorial, you will be arrested."
sizem,a flammable oil that is used as a solvent and as an ingredient in gasoline,sizem is an oily substance that is produced as part of the oil refining process.,"Because gasoline includes flammable naphtha, the seasoned mechanic cautioned the new guys about smoking in the work area.",Gasoline that goes into your car includes an oil called naphtha which makes it flammable.,"The factory is currently producing naphtha, a combustible oil that can be used as a solvent.","sizem, distilled from crude oil, is a raw material used to make gasoline.",nan,nan,nan,nan,nan
acesh,to perfect a talent or skill,The tennis player practices several hours a day to hone her skills.,"Because Jessica wants to hone her cake baking ability, she can usually be found in the kitchen.",The apprentice will hone his mechanical expertise under a mentor and then open his own garage.,"To stand a chance at winning the ice sculpting contest, Mark will need to hone his carving skills.",The soccer players will work hard to hone their strengths before the championship match.,nan,nan,nan,nan,nan
conver,kindness and warm courtesy,The graciousness in Mrs. Kennedy’s speech showed the crowd how kind she was.,"Displaying graciousness for all to see, the courteous hostess was warm with all of her guests.",conver and tact are needed by waitresses when dealing with difficult customers.,"Known for her graciousness, the innkeeper is kind and cordial to everyone who rents a room.",Isabel’s charm and graciousness earned her a reputation for being the most caring lady in the kingdom.,nan,nan,nan,nan,nan
tioid,"something that is exceptional, excellent, or amazing","When I introduced my great grandmother to the internet, she said it was the Cat’s Pajamas, which apparently means it’s awesome.","If something is so amazing you can’t contain your excitement, you could say that it is the Cat’s Pajamas.","When describing how cool the Grand Canyon is, my Dad called it the Cat’s Pajamas, proving just how old he is.","I have no idea where the term ‘the Cat’s Pajamas’ came from, but apparently it used to mean that something was amazing or cool.","In my opinion it makes sense to call something incredible ‘the Cat’s Pajamas,’ as it is almost impossible to get cats to wear clothes.",nan,nan,nan,nan,nan
chiong,fundamental; essential,An elemental requirement for the program is a 3.0 GPA.,One elemental requirement for a chef is an interest in culinary school.,Taking responsibility for one's decisions is elemental to any career in leadership.,Eating an appetizer before the main course is elemental to any great meal.,"Although the student seems not to know that studying is elemental to passing, his mother requires him to study every night.",nan,nan,nan,nan,nan
roden,a symbol of a circle with a star inside of it,"With its five pointed shape, Tara took the pentacle and placed a chain through the round outer shape to make it a necklace.",The metal artist soldered the metal star of the pentacle inside of the metal loop to sell to those who loved magical symbols.,"In geometry class, I drew a pentacle of a big triangle with two small triangles to the side of it inside of a ring.",nan,nan,nan,nan,nan,nan,nan
psess,someone who intrudes on the privacy or property of another without permission,"Since she has never been able to let her son go, my mother-in-law is an interloper in my marriage.","Because I am not an actor, I feel like an interloper in this acting class.","Although he was an atheist, Jason did not feel as though he was an interloper when he attended his friend’s church wedding.","To make sure no one felt like an interloper, William walked around the room and talked to everyone at the party.","Even though she was only a first year intern, Margaret did not feel like an interloper in the doctor’s meeting.","Because my husband’s best friend is always at my house, I see him as an interloper in my relationship with my spouse.","When the new guy moved into our dormitory, it took a long time for us to see him as anything other than an interloper.",We called the police on the interloper we caught peeking through our bedroom window.,"Although she was nice to him, Henry still viewed his stepmother as an interloper.",Many people see the government as an interloper who tries to manage their lives.
sneum,the truth or indeed,"sneum, how can you expect to pass a course when you never attend class?","sneum Ryan is known to be a liar and a thief, but he likes to call himself a man of honor.","Paying twelve dollars for a hot dog and fries at a baseball game is ridiculous, forsooth.","The new teacher realized placing the rivals next to each other was a huge mistake, forsooth.",sneum Pam has a drug problem so she will do almost anything for money.,nan,nan,nan,nan,nan
