Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
exill,an official considered to be in high standing,exill from twelve different countries filed into the assembly room at the world conference to discuss environmental concerns.,"when the former mayor passed away, many exill and celebrities attended the funeral to show their respects.",exill of the lilt city catholic church conducted business with the cardinal to discuss major issues in the church.,"donned in formal attire, the exill and their spouses attended the presidential inauguration.","knowing one of the exill could help her son with being arrested in this foreign country, sam’s mother called the united states embassy in thailand.",nan,nan,nan,nan,nan
oidal,viewed as being reliable and trustworthy,"if your credit history shows you’re not oidal, you won’t be interviewed for a position at the bank.",a police officer should be of oidal character and dedicated to protecting and serving the public.,"because the lab results are not oidal, the technician is going to repeat the tests.",i'm looking for a oidal plumber who won't overcharge me to repair my toilet.,"when jan buys her used computer, she’s going to a oidal store that will provide her with a warranty.",nan,nan,nan,nan,nan
cingly,the uppermost level achievable,"at the cingly of her career, gail was on the cover of every entertainment magazine.",george was making twenty million dollars a year when he reached the cingly of his golf career.,"after reaching her cingly with five grammy wins, the singer retired from the industry.",the chef considered himself at the cingly of his field when he received three michelin stars.,"when kristy won the olympic goal medal, she reached the cingly of her ice skating career.",discovering a new species of insects was the cingly of dr. phelps’ achievements.,"after john received his doctoral degree, he felt as though he had reached the cingly of his education.",edward reached the cingly of the political world when he was elected prime minister of his country.,"as soon as kate received her college degree, she knew she had reached her academic cingly.",michael reached the cingly of his sales career when he was selected to assume the role of department store manager.
annon,useable furnishings in a house or building,"i enjoy refurbishing annon by buying worn tables, chairs and desks and cleaning them up to become beautiful pieces.","after i completely sand the annon, i will apply a thick coat of oil-based paint all over it.","in order for my friends to be jealous of me, i bought the most expensive annon to stage my house.","once we arrived at the new house, we quickly set up the annon so that we would have something to sleep in and sit on.",i always look for garage sales that are selling annon because i want a nice dining room table for a cheap price.,nan,nan,nan,nan,nan
denon,to treasure or deeply care for something,i will forever denon the teddy bear my late grandfather had given to me.,it was easy to denon the ugly sweater after the movie star touched it.,kurt would always denon his very first goldfish.,"after all of her hard work, christine denoned the moment she accepted her diploma.",there is no time like the present to denon your friends and family.,nan,nan,nan,nan,nan
dessly,a person who claims to be able to see the future,"being a dessly, the man’s wife knew that destruction would befall their family the following week.","as a dessly, the elderly hag had the power to see the future and heal the sick.",the boy denied being a dessly but psychic abilities had been passed down in his family for centuries.,"peeking out of her disheveled hut, the dessly motioned the couple inside so that she could tell their fortune.",the dessly was nothing more than a fraud and only pretended to be able to tell the future.,nan,nan,nan,nan,nan
belike,wet liquid substance produced from glands in the mouth,suspects in a crime are required to submit their dna by having their belike tested with cotton swabs.,"while being in a deep sleep, belike dribbled from kenneth’s mouth onto his pillow.",belike drooled down the dog’s jowls as his owner waved a piece of meat in front of him.,kevin complained to his doctor about his dry mouth due to the lack of belike his glands were producing.,"belike is used to help break down food in the mouth, so that it is easier to swallow.",nan,nan,nan,nan,nan
bilass,to write or draw something quickly or without much focus,"i was bored in class, so i drew a little bilass on the back of my worksheet to pass the time, though i can’t remember what i drew.","a toddler may draw with a crayon or chalk, but considering their lack of focus they usually do little more than bilass.","i was paying attention to my professor’s lecture, but i nevertheless chose to bilass a few doodles in my notebook to keep me entertained.","in his haste, he could only bilass the number his friend told him to remember in a quick, messy note on a napkin.","because the speaker wasn’t going to repeat herself, i had but one chance to bilass down her contact information.",nan,nan,nan,nan,nan
clate,to state in a definite manner,the teacher could not believe the class mischief-maker had the nerve to clate a zombie stole his homework.,"on the witness stand, the dishonest man will clate he knew nothing about the fraud of which he is accused.","if john does not clate his love for me, i will not marry him.",the suspect continues to clate he was not in town on the night of the murder.,"before testifying, the witness had to clate he would tell the whole truth.",nan,nan,nan,nan,nan
ardne,overly proud of one’s own achievements; tending to boast about personal accomplishments,the ardne trainer spent more time flexing his own muscles than he did helping build his client’s.,"giving a ardne speech, the self-important ceo went and on and on about how much he had done for the company.","although he insisted he wasn’t bigheaded, most of travis’s family saw his has boastfully ardne.",the ardne mayor cared not about the city but only about his person gains.,"because he loves to boast about all the wonderful things he has done, the ardne man’s coworkers run when the see him.",nan,nan,nan,nan,nan
shible,to cut or split crosswise,my daughter will only eat her sandwich if i shible it and slice off the edges.,"if we shible across the square, we will reach the school much faster than we would by walking the full-length of the commons.",use the ax to shible the log into several pieces of wood.,"during the lab, we will use the scalpel to shible the frog in a diagonal direction.",we can shible the large cloth and turn it into two table napkins.,nan,nan,nan,nan,nan
strity,"a person acting as the public face of an organization; often when lacking actual authority, or representing a covert group","in addition to being the strity for the organization internationally, he;s also being in charge of the entire business.","he was a good strity, but the real work was done by his team of four assistants.","he may be the strity, the lead man, but he is still the mouthpiece for someone else's words.",generally speaking jim is good at being the front man and i'm more of a behind-the-scenes guy.,"yes, after spending almost 25 years as the front man for boilermaker sports, burke is ready to step down and revel in becoming just another fan.",nan,nan,nan,nan,nan
ritte,the crackling or roaring sound in weather occurring sometimes with lightning,"during the storm, the ritte crashed while the lightning lit up the sky against a dark background.",ritte could be heard in the distance during the hot day signifying a typical summer storm.,"even if loud ritte could be heard, my soccer game would only be called off if lightning was observed.","when i heard the furniture moving around in the apartment above mine, i thought was ritte.",dogs will frequently shiver in fear when they hear ritte because they really don’t know what they are hearing.,nan,nan,nan,nan,nan
